No.	Nama	Jenis Cuisine	Alamat	Rating	Jumlah Ulasan	Sumber Rating	Area
47	El Asador	South American / Steak	Kemang Point Building Ground Floor Jl. Kemang Raya No. 3 Bangka Mampang, Prapatan No.RT.4, RT.4/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 17230, Indonesia	4,5	1465	Google	Kemang, Jakarta Selatan
48	Altitude Grill	Steakhouse	The Plaza Office Tower, Jl. M.H. Thamrin No.Kav 28-30, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,5	489	Google	Plaza Indonesia, Jakarta Pusat
49	ABSteak by Akira Back	Korean Steakhouse	Senayan City, Ground Floor Unit G-119, Jl. Asia Afrika Lot.19, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270	4,6	-	Google	Senayan, Jakarta Pusat
50	Caspar Jakarta	Spanish	Jl. Jend. Sudirman No.36, RT.14/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10210, Indonesia	4,6	1754	Google	SCBD, Jakarta Selatan
51	Animale Restaurant	Mediterranean / New American	MD Place 11th Floor Jl Setia Budi Selatan No 7, Setia Budi, RT 5, RT.5/RW.1, Kuningan, Setia Budi, Kuningan, Jakarta, Daerah Khusus Ibukota Jakarta 12910, Indonesia	4,7	1405	Google	Setiabudi, Jakarta Selatan
52	SKYE Rooftop	International	BCA Tower Lt. 56, Jl. M.H. Thamrin No. 1, RT.001 / RW.005, Menteng, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,6	6276	Google	BCA Tower, Thamrin, Jakarta Pusat
53	Bornga	Korean BBQ	Jl. Wolter Monginsidi No.24, RT.1/RW.6, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia	4,7	2138	Google	Kebayoran Baru, Jakarta Selatan
54	Cheongdam Garden	Korean BBQ	Jl. Senopati No.43c, RT.6/RW.3, Senayan, Kec. Kby. Baru, kota administrasi, Daerah Khusus Ibukota Jakarta 12190, Indonesia	4,6	2245	Google	Senopati, Jakarta Selatan
55	Ojju	Korean	Jl. Raya Casablanca No.88 Unit FSU - 35, RT.14/RW.5, Menteng Dalam, Tebet, South Jakarta City, Jakarta 12870, Indonesia	4,6	4342	Google	Kota Kasablanka, Tebet, Jakarta Selatan
56	Seo Seo Galbi	Korean BBQ	Ruko Crown Golf Blok A no 31, RT.6 / RW.2, Pantai Indah Kapuk, Kamal Muara, Penjaringan, RT.6/RW.2, Kamal Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460, Indonesia	4,7	2165	Google	PIK, Jakarta Utara
57	Legend of Noodle	Korean Noodle	AEON Mall, Jl. Raya Tj. Barat No.163, RT.12/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530, Indonesia	4,6	4305	Google	Senopati, Jakarta Selatan
58	Chung Gi Wa	Korean BBQ	Jl. Wijaya II No.118-119, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia	4,4	1974	Google	Wijaya, Kebayoran Baru, Jakarta Selatan
59	Chandara Fine Thai Cuisine	Thai	Plaza Senayan Mall, Jl. Asia Afrika No.3 4 Unit CP No.414, RT.1/RW.1, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270, Indonesia	4,5	684	Google	Menteng, Jakarta Pusat
60	Thai Street Citywalk	Thai	Citywalk Sudirman, Jl. K.H. Mas Mansyur No.Kav 121 Lt. 1, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia	4,8	1996	Google	Sudirman, Jakarta Pusat
61	Jittlada Thai Cuisine	Thai	Grand Indonesia, Jalan Muhammad Husni Thamrin, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,6	1099	Google	Grand Indonesia, Jakarta Pusat
62	Tamnak Thai	Thai	Menteng Central - Ground Floor, Jl. HOS. Cokroaminoto No.78 - 80, RT.2/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia	4,5	722	Google	Menteng, Jakarta Pusat
63	SanThai	Thai	Jl. Raya Casablanca No.88 Unit No.28, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia	4,4	1194	Google	Kota Kasablanka, Jakarta Selatan
64	Greyhound Cafe	Thai	Jl. Sunda No.5, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11350, Indonesia	4,6	838	Google	Menteng, Jakarta Pusat
65	The Royal Kitchen	North Indian Fine Dining	Jalan Mega Kuningan Barat. Kav 3-5 The Bellagio Mall Lt.GF Unit 16 Kuningan Timur Setiabudi RT.5, RT.5/RW.2, Kuningan, Kuningan Tim., RT2, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia	4,4	1622	Google	Kuningan, Jakarta Selatan
66	Queen's Tandoor	Indian	Plaza Bank Index, Jl. M.H. Thamrin, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia	4,3	1862	Google	Jakarta Pusat
67	Ganesha Ek Sanskriti	Indian	Center Park, GEDUNG BRI II, Jl. Jenderal Sudirman No.Kav 44-46 9 CP 901, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia	4,4	1005	Google	BRI 2, Jakarta Pusat
68	Babooji	Indian Contemporary	Jl. Gunawarman No.61, RT.3/RW.7, Rw. Bar., Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12180, Indonesia	4,3	579	Google	Gunawarman, Jakarta Selatan
69	Fez-Kinara	Indian / Middle Eastern	Jalan Kemang Raya.78B, RT.4/RW.2 RT.4, RT.4/RW.2, Bangka, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia	4,4	1165	Google	Kemang, Jakarta Selatan
